symbol,open,high,low,close,volume
cav,28.58,29.97,28.58,29.69,117460
ccl,2.86,2.96,2.86,2.95,52070
cdc,7.32,7.32,7.23,7.23,31560
cdo,17.29,17.36,17.15,17.36,1156260
ceo,10.85,10.85,10.63,10.63,349220
chp,18.79,18.79,18.45,18.54,102725
cig,1.9,2.0,1.9,2.0,3380
cii,19.71,19.9,19.34,19.52,4954730
clc,38.94,43.28,38.94,41.6,60
clg,5.5,5.5,5.4,5.4,1420
cll,24.45,24.71,23.93,24.01,18320
clw,14.83,14.83,14.83,14.84,190
cmg,13.61,14.18,13.61,13.98,48140
cmi,10.9,11.0,10.5,11.0,26200
cms,8.3,8.56,8.3,8.39,25400
cmv,14.6,15.87,14.05,15.42,2540
cmx,5.5,5.5,5.4,5.4,22830
cng,25.24,26.82,25.24,26.83,19430
com,43.66,46.18,43.66,46.18,1740
cpc,17.0,17.0,17.0,17.0,100
csc,15.27,15.27,14.99,14.99,3000
csm,15.32,15.49,15.21,15.26,168060
csv,18.26,18.26,17.99,18.26,9040
cta,3.7,3.8,3.6,3.7,12800
ctc,7.13,7.13,7.13,7.13,200
ctd,102.44,106.07,102.44,103.89,163470
ctg,19.67,19.67,19.29,19.48,429910
cti,18.48,18.48,18.12,18.39,53520
cts,6.67,6.67,6.58,6.67,64900
cvn,2.2,2.2,2.2,2.2,21000
cvt,15.44,15.44,15.12,15.19,112840
cx8,6.53,6.62,6.53,6.62,200
dad,13.08,14.19,12.94,14.19,800
dae,14.01,14.01,13.6,13.59,2000
dag,12.61,12.88,12.42,12.52,1181990
dat,18.0,18.2,17.9,18.1,20050
dbc,19.73,19.95,19.51,19.8,31910
dc2,4.1,4.1,4.1,4.1,100
dc4,5.58,5.58,5.58,5.58,100
dcl,7.96,7.96,7.82,7.86,34260
dcm,11.09,11.18,10.92,10.91,384930
dcs,3.6,3.7,3.6,3.6,746721
dgc,34.65,35.05,34.25,34.89,59920
dgl,34.36,34.71,33.47,33.56,8000
dgw,25.13,25.13,24.99,25.06,20400
dha,16.32,16.5,16.32,16.32,63840
dhc,25.26,25.26,24.82,25.26,6960
dhg,43.35,43.35,42.73,42.73,21460
dhm,4.39,4.48,4.11,4.39,1085180
dhp,8.67,8.67,8.67,8.67,3200
dic,7.13,7.13,6.84,7.13,191760
dig,9.81,9.81,9.35,9.44,429760
dl1,9.19,9.28,9.1,9.19,42400
dlg,8.85,8.85,8.57,8.57,2564470
dmc,30.52,30.52,29.27,29.27,4070
dnm,23.15,23.15,23.06,23.15,800
dnp,8.34,8.42,8.34,8.42,600
dp3,18.22,18.22,18.22,18.22,25600
dpc,15.31,15.31,15.31,15.31,200
dpm,25.36,25.52,25.28,25.44,256900
dpr,26.21,26.21,24.6,24.6,16200
dps,14.59,15.06,14.11,14.86,978900
dqc,55.66,55.66,55.66,55.67,45740
drc,29.89,31.02,29.89,30.35,40430
drh,8.1,8.6,8.0,8.6,393390
drl,32.46,32.46,32.46,32.46,10
dsn,40.32,40.9,40.32,40.9,4550
dta,4.0,4.3,4.0,4.3,30680
dtl,7.5,7.5,7.5,7.5,20
dtt,6.27,6.27,6.27,6.27,190
dvp,58.27,58.27,56.58,57.84,7730
dxg,12.43,12.56,12.36,12.36,799130
dxp,16.21,16.36,15.91,16.12,7500
dxv,4.1,4.1,4.1,4.1,260
e1vfvn30,9.9,9.9,9.9,9.9,9500
ebs,6.91,6.91,6.91,6.91,42000
eib,11.6,11.6,11.3,11.4,138740
elc,18.99,19.16,18.73,18.99,336960
emc,11.14,11.24,10.31,10.5,28700
eve,14.9,15.2,14.54,14.54,4810
fcm,5.65,5.65,5.57,5.56,748900
fcn,19.3,19.3,18.85,18.93,65110
fdc,17.9,18.0,17.9,18.0,11300
fid,10.69,10.69,9.6,9.77,156900
fit,9.63,10.09,9.53,10.09,10706230
flc,8.1,8.4,8.0,8.2,15345090
fmc,11.49,11.72,11.3,11.3,109190
fpt,38.24,38.94,37.53,38.23,2413900
g20,8.58,8.85,8.3,8.76,234000
gas,38.63,38.72,38.19,38.37,518020
gdt,29.1,29.1,29.1,29.1,2120
gil,28.83,30.1,28.83,29.29,51670
gmc,31.14,31.29,30.54,30.54,2300
gmd,25.11,26.06,25.11,25.74,565270
gmx,13.48,13.48,13.48,13.48,300
gsp,12.84,13.01,12.51,12.75,92760
gta,14.77,15.64,14.77,15.63,4800
gtn,14.2,14.3,14.1,14.2,323150
had,37.62,37.62,37.62,37.62,100
hag,13.8,13.9,13.7,13.8,3308860
hah,28.81,29.98,28.81,29.98,97570
hai,6.0,6.1,5.9,6.0,3062810
hap,4.97,4.97,4.81,4.97,647280
har,6.1,6.2,6.0,6.1,1648840
has,5.0,5.0,4.6,4.6,1020
hax,10.19,10.56,10.0,10.56,28260
hbc,11.61,11.61,11.26,11.32,686400
hbs,4.5,4.5,4.3,4.3,1600
hcc,16.78,16.83,16.73,16.83,5300
hcm,31.17,31.62,31.08,31.17,200030
hct,9.87,9.87,8.41,8.59,1000
hda,11.43,11.52,10.76,11.04,735000
hdc,11.74,11.74,11.5,11.5,138000
hdg,21.51,22.2,21.51,22.23,2010
hdo,1.9,2.0,1.9,2.0,62200
hhc,17.57,18.01,17.57,18.01,3600
hhg,7.97,8.23,7.88,8.14,40575
hhs,14.65,14.74,14.3,14.39,2563130
hjs,12.05,12.14,11.96,11.96,138500
hkb,13.1,13.59,11.85,11.85,629600
hlc,6.12,6.12,6.12,6.12,100
hld,15.04,15.13,14.95,15.13,16400
hlg,4.5,4.5,4.5,4.5,21660
hmc,6.73,6.73,6.64,6.64,5860
hmh,13.83,14.41,13.83,13.83,43700
hng,30.6,30.9,30.4,30.5,334360
hnm,9.6,9.8,9.6,9.6,18200
hom,6.8,6.8,6.6,6.8,32900
hot,32.51,32.51,32.51,32.51,100
hpg,15.89,15.89,15.58,15.57,1217400
hqc,5.93,6.02,5.74,5.93,4392730
hrc,31.28,33.6,31.28,33.6,440
hsg,11.81,11.84,11.76,11.84,249430
ht1,23.33,24.5,23.33,24.5,58720
hti,12.89,12.89,12.71,12.8,23350
htl,102.04,102.04,100.16,100.16,2440
htv,12.63,13.68,12.63,13.11,10770
hut,9.11,9.58,8.79,8.79,308850
hva,6.67,6.76,6.39,6.57,247300
hvg,12.42,12.5,11.92,11.92,1979970
hvt,11.2,11.89,11.2,11.52,22100
icf,3.6,3.8,3.6,3.6,2350
icg,5.12,5.12,5.12,5.12,16500
idi,7.9,7.9,7.8,7.8,262640
idj,2.6,2.6,2.4,2.5,133900
idv,23.09,24.73,23.03,24.73,1700
ijc,7.98,8.07,7.79,7.98,191360
imp,32.73,32.73,32.16,32.24,8420
inn,33.12,33.31,32.57,33.31,44500
ita,6.3,6.3,6.1,6.2,2956100
itc,8.5,8.6,8.4,8.5,321680
